2026-07-05 01:03:01 | sweep_noise_prob0.1 | epoch=  0.11 | samples=  5,605,376 | speed= 1,560 sps | loss=0.054700 | lr=1.28e-03
2026-07-05 01:04:11 | sweep_noise_prob0.1 | epoch=  0.11 | samples=  5,705,472 | speed= 1,429 sps | loss=0.054434 | lr=1.32e-03
2026-07-05 01:05:21 | sweep_noise_prob0.1 | epoch=  0.12 | samples=  5,805,568 | speed= 1,428 sps | loss=0.053529 | lr=1.02e-03
2026-07-05 01:06:31 | sweep_noise_prob0.1 | epoch=  0.12 | samples=  5,905,664 | speed= 1,429 sps | loss=0.051705 | lr=1.05e-03
2026-07-05 01:07:36 | sweep_noise_prob0.1 | epoch=  0.12 | samples=  6,005,760 | speed= 1,553 sps | loss=0.051291 | lr=1.06e-03
2026-07-05 01:08:46 | sweep_noise_prob0.1 | epoch=  0.12 | samples=  6,105,856 | speed= 1,425 sps | loss=0.050451 | lr=8.18e-04
2026-07-05 01:09:56 | sweep_noise_prob0.1 | epoch=  0.12 | samples=  6,205,952 | speed= 1,430 sps | loss=0.048868 | lr=8.35e-04
2026-07-05 01:11:06 | sweep_noise_prob0.1 | epoch=  0.13 | samples=  6,306,048 | speed= 1,427 sps | loss=0.048745 | lr=8.60e-04
2026-07-05 01:12:19 | sweep_noise_prob0.1 | epoch=  0.13 | samples=  6,406,144 | speed= 1,378 sps | loss=0.048447 | lr=6.52e-04
2026-07-05 01:13:29 | sweep_noise_prob0.1 | epoch=  0.13 | samples=  6,506,240 | speed= 1,427 sps | loss=0.046984 | lr=6.92e-04
2026-07-05 01:14:39 | sweep_noise_prob0.1 | epoch=  0.13 | samples=  6,606,336 | speed= 1,426 sps | loss=0.046723 | lr=7.06e-04
2026-07-05 01:15:49 | sweep_noise_prob0.1 | epoch=  0.13 | samples=  6,706,432 | speed= 1,427 sps | loss=0.046410 | lr=7.06e-04
2026-07-05 01:17:00 | sweep_noise_prob0.1 | epoch=  0.14 | samples=  6,806,528 | speed= 1,426 sps | loss=0.045675 | lr=5.45e-04
2026-07-05 01:18:10 | sweep_noise_prob0.1 | epoch=  0.14 | samples=  6,906,624 | speed= 1,427 sps | loss=0.044770 | lr=5.73e-04
2026-07-05 01:19:20 | sweep_noise_prob0.1 | epoch=  0.14 | samples=  7,006,720 | speed= 1,432 sps | loss=0.044733 | lr=5.79e-04
2026-07-05 01:20:30 | sweep_noise_prob0.1 | epoch=  0.14 | samples=  7,106,816 | speed= 1,427 sps | loss=0.044454 | lr=5.85e-04
2026-07-05 01:21:34 | sweep_noise_prob0.1 | epoch=  0.14 | samples=  7,206,912 | speed= 1,552 sps | loss=0.044385 | lr=5.96e-04
2026-07-05 01:22:44 | sweep_noise_prob0.1 | epoch=  0.15 | samples=  7,307,008 | speed= 1,424 sps | loss=0.044157 | lr=6.02e-04
2026-07-05 01:23:55 | sweep_noise_prob0.1 | epoch=  0.15 | samples=  7,407,104 | speed= 1,426 sps | loss=0.043782 | lr=4.61e-04
2026-07-05 01:25:06 | sweep_noise_prob0.1 | epoch=  0.15 | samples=  7,507,200 | speed= 1,395 sps | loss=0.042748 | lr=4.70e-04
2026-07-05 01:26:16 | sweep_noise_prob0.1 | epoch=  0.15 | samples=  7,607,296 | speed= 1,427 sps | loss=0.042584 | lr=4.75e-04
2026-07-05 01:28:07 | sweep_noise_prob0.1 | epoch=  0.15 | samples=  7,707,392 | speed=   904 sps | loss=0.042322 | lr=4.84e-04
2026-07-05 01:29:17 | sweep_noise_prob0.1 | epoch=  0.16 | samples=  7,807,488 | speed= 1,443 sps | loss=0.042307 | lr=4.84e-04
2026-07-05 01:30:26 | sweep_noise_prob0.1 | epoch=  0.16 | samples=  7,907,584 | speed= 1,435 sps | loss=0.041453 | lr=3.86e-04
2026-07-05 01:31:26 | sweep_noise_prob0.1 | epoch=  0.16 | samples=  8,000,000 | speed= 1,543 sps | loss=0.041295 | lr=2.89e-04
