2026-06-29 21:54:27 | n4_b1p75 | samples=  9,609,216 | speed= 3,531 sps | loss=0.081379 | val=0.079582 | lr=7.90e-04 | D=-- | D'=--
2026-06-29 21:54:55 | n4_b1p75 | samples=  9,709,312 | speed= 3,527 sps | loss=0.081279 | val=0.078693 | lr=6.46e-04 | D=-- | D'=--
2026-06-29 21:55:27 | n4_b1p75 | samples=  9,809,408 | speed= 3,137 sps | loss=0.079939 | val=0.077024 | lr=1.95e-04 | D=-- | D'=--
2026-06-29 21:55:59 | n4_b1p75 | samples=  9,909,504 | speed= 3,167 sps | loss=0.079304 | val=0.076632 | lr=9.27e-05 | D=-- | D'=--
2026-06-29 21:56:30 | n4_b1p75 | samples= 10,009,600 | speed= 3,146 sps | loss=0.079020 | val=0.076504 | lr=8.87e-05 | D=-- | D'=--
2026-06-29 21:57:02 | n4_b1p75 | samples= 10,109,696 | speed= 3,154 sps | loss=0.078929 | val=0.076482 | lr=1.46e-04 | D=-- | D'=--
2026-06-29 21:57:34 | n4_b1p75 | samples= 10,209,792 | speed= 3,156 sps | loss=0.079018 | val=0.076453 | lr=1.80e-04 | D=-- | D'=--
2026-06-29 21:58:05 | n4_b1p75 | samples= 10,309,888 | speed= 3,159 sps | loss=0.079023 | val=0.076353 | lr=2.31e-04 | D=-- | D'=--
2026-06-29 21:58:37 | n4_b1p75 | samples= 10,409,984 | speed= 3,200 sps | loss=0.078682 | val=0.075965 | lr=1.08e-04 | D=-- | D'=--
2026-06-29 21:59:05 | n4_b1p75 | samples= 10,510,080 | speed= 3,550 sps | loss=0.078503 | val=0.076145 | lr=2.69e-04 | D=-- | D'=--
2026-06-29 21:59:37 | n4_b1p75 | samples= 10,610,176 | speed= 3,150 sps | loss=0.078541 | val=0.075840 | lr=1.76e-04 | D=-- | D'=--
2026-06-29 22:00:08 | n4_b1p75 | samples= 10,710,272 | speed= 3,158 sps | loss=0.078227 | val=0.075505 | lr=1.06e-04 | D=-- | D'=--
2026-06-29 22:00:40 | n4_b1p75 | samples= 10,810,368 | speed= 3,146 sps | loss=0.078019 | val=0.075415 | lr=1.31e-04 | D=-- | D'=--
