total_samples,speed_sps,train_loss,val_loss,lr
16115456,3549.5,0.07279141729368883,0.06975862900057973,0.00011241561428560457
16215552,3544.2,0.07284631894525055,0.07004075566715241,0.00020614203995061335
16315648,3537.4,0.07296766258795243,0.06987637034641436,0.00019223304399406063
16415744,3147.3,0.07273169894657476,0.06946420163318283,0.00012633798539713186
16515840,3545.3,0.0728290690409253,0.07022030559342353,0.00032533588169483243
16615936,3150.2,0.07288120342108904,0.06941827622612938,0.00018762410059403623
16716032,3153.9,0.07221582209896249,0.0689260866045012,8.170597695026224e-05
16816128,3155.0,0.07192507212805321,0.06874196613924405,8.99659911645709e-05
16916224,3545.4,0.07191598272460806,0.06879480938249949,0.00012501091985843524
17016320,3539.7,0.07186926148660347,0.0687739772746773,0.00016167739234807706
17116416,3531.3,0.07189936754877305,0.06893518777845258,0.00022319629622924266
17216512,3528.3,0.07202594149905397,0.06899828896346717,0.0003005933485083461
17316608,2872.8,0.07183454355315479,0.06847297146143419,0.0001933210855771914
17416704,3548.7,0.0716322611855424,0.06867437174540876,0.00026901873857450265
17516800,3148.9,0.07132407742769212,0.06790055248051292,0.00011114052135225483
17616896,3146.1,0.07086435190933135,0.0675953261241514,6.507924261127023e-05
17716992,3146.0,0.07071358291313166,0.06743940905453576,5.1489685914146825e-05
17817088,3549.8,0.07065228618624265,0.06751916386613711,9.004744530497658e-05
17917184,3164.7,0.07072093814154111,0.06736129576363106,6.352363352086093e-05
18017280,3159.7,0.07056009712274117,0.06724399258920281,4.763139411747298e-05
18117376,3152.5,0.07050330548182777,0.0672063159505255,5.827376391192952e-05
18217472,3159.7,0.07043098010446715,0.06711706996441097,4.59447805858597e-05
18317568,3212.8,0.07040237959312357,0.06708172107088212,5.6353054615528755e-05
18417664,3554.8,0.07046326911053084,0.06713662899102246,9.07912871960139e-05
18517760,3157.3,0.07041501019464429,0.06696149059110061,5.855402261877985e-05
18617856,3159.0,0.0702233292029032,0.06683940429769038,3.493603655684865e-05
18717952,3155.4,0.07017638972576927,0.06682694532299718,4.207660643438792e-05
18818048,3162.4,0.07008458708253358,0.06675123745924298,3.258771901944647e-05
18918144,3202.3,0.07011545169383973,0.06671763321887524,3.2762208225873294e-05
19018240,3216.4,0.0699782675260778,0.06667706498686354,2.9265629216615956e-05
19118336,3211.2,0.07002818750222321,0.06666545232826442,2.9793167444400756e-05
19218432,3163.9,0.06998124328034613,0.06661848496592378,3.26477810652664e-05
19318528,3560.4,0.06992247123318865,0.06662983574025078,4.1618401536210064e-05
19418624,3550.3,0.07005759953614087,0.06682617364624642,0.00011724171424918537
19518720,3546.8,0.07013983856838987,0.0668444921179529,0.0001578703089442542
19618816,3540.0,0.07020270441422986,0.06686987698674761,0.0001717851730730987
19718912,3152.9,0.07009976193346941,0.06653749334723655,0.00010748802619721669
19819008,3154.7,0.06980414509468372,0.06635413700911184,8.806050330841383e-05
19919104,2690.2,0.06970566562603196,0.06632580330704933,8.845387232763176e-05
