[Ksamples=  4,654,592 | loss=0.093926 | speed=1762 sps | lr=2.09e-04
[Ksamples=  4,679,680 | loss=0.093775 | speed=1761 sps | lr=2.17e-042026-07-05 13:13:48 | sweep_noise_prob0.2 | epoch=  0.09 | samples=  4,704,512 | speed= 1,535 sps | loss=0.093730 | lr=2.20e-04

[Ksamples=  4,729,600 | loss=0.094112 | speed=1358 sps | lr=2.20e-04
[Ksamples=  4,754,688 | loss=0.093733 | speed=1759 sps | lr=2.20e-04
[Ksamples=  4,779,776 | loss=0.093434 | speed=1758 sps | lr=2.20e-042026-07-05 13:14:53 | sweep_noise_prob0.2 | epoch=  0.10 | samples=  4,804,608 | speed= 1,530 sps | loss=0.093241 | lr=2.29e-04

[Ksamples=  4,829,696 | loss=0.093159 | speed=1353 sps | lr=2.29e-04
[Ksamples=  4,854,784 | loss=0.092988 | speed=1757 sps | lr=2.29e-04
[Ksamples=  4,879,872 | loss=0.092728 | speed=1729 sps | lr=2.33e-042026-07-05 13:16:05 | sweep_noise_prob0.2 | epoch=  0.10 | samples=  4,904,704 | speed= 1,395 sps | loss=0.092551 | lr=2.36e-04

[Ksamples=  4,929,792 | loss=0.091852 | speed=1162 sps | lr=2.40e-04
[Ksamples=  4,954,880 | loss=0.091895 | speed=1760 sps | lr=2.40e-04
[Ksamples=  4,979,968 | loss=0.091847 | speed=1759 sps | lr=2.40e-042026-07-05 13:17:10 | sweep_noise_prob0.2 | epoch=  0.10 | samples=  5,004,800 | speed= 1,531 sps | loss=0.091695 | lr=2.40e-04

[Ksamples=  5,029,888 | loss=0.091454 | speed=1353 sps | lr=2.43e-04
[Ksamples=  5,054,976 | loss=0.091365 | speed=1757 sps | lr=2.45e-04
[Ksamples=  5,080,064 | loss=0.091253 | speed=1716 sps | lr=2.53e-042026-07-05 13:18:16 | sweep_noise_prob0.2 | epoch=  0.10 | samples=  5,104,896 | speed= 1,511 sps | loss=0.091108 | lr=2.53e-04

[Ksamples=  5,129,984 | loss=0.093279 | speed=1337 sps | lr=2.53e-04
[Ksamples=  5,155,072 | loss=0.095233 | speed=1716 sps | lr=2.53e-04
[Ksamples=  5,180,160 | loss=0.095116 | speed=1746 sps | lr=2.53e-042026-07-05 13:19:22 | sweep_noise_prob0.2 | epoch=  0.10 | samples=  5,204,992 | speed= 1,518 sps | loss=0.094613 | lr=2.53e-04

[Ksamples=  5,230,080 | loss=0.091588 | speed=1351 sps | lr=1.89e-04
[Ksamples=  5,255,168 | loss=0.090963 | speed=1721 sps | lr=1.95e-04
[Ksamples=  5,280,256 | loss=0.090652 | speed=1732 sps | lr=1.99e-042026-07-05 13:20:29 | sweep_noise_prob0.2 | epoch=  0.11 | samples=  5,305,088 | speed= 1,510 sps | loss=0.090525 | lr=1.99e-04

[Ksamples=  5,330,176 | loss=0.089473 | speed=1340 sps | lr=2.03e-04
[Ksamples=  5,355,264 | loss=0.089323 | speed=1753 sps | lr=2.09e-04
[Ksamples=  5,380,352 | loss=0.089524 | speed=1753 sps | lr=2.09e-042026-07-05 13:21:34 | sweep_noise_prob0.2 | epoch=  0.11 | samples=  5,405,184 | speed= 1,523 sps | loss=0.089540 | lr=2.09e-04

[Ksamples=  5,430,272 | loss=0.088699 | speed=1346 sps | lr=2.13e-04
[Ksamples=  5,455,360 | loss=0.088607 | speed=1752 sps | lr=2.18e-04
[Ksamples=  5,480,448 | loss=0.088504 | speed=1726 sps | lr=2.20e-042026-07-05 13:22:40 | sweep_noise_prob0.2 | epoch=  0.11 | samples=  5,505,280 | speed= 1,515 sps | loss=0.089152 | lr=2.20e-04

[Ksamples=  5,530,368 | loss=0.098366 | speed=1343 sps | lr=2.20e-04
[Ksamples=  5,555,456 | loss=0.097576 | speed=1756 sps | lr=2.20e-04
[Ksamples=  5,580,544 | loss=0.096414 | speed=1723 sps | lr=2.20e-042026-07-05 13:23:46 | sweep_noise_prob0.2 | epoch=  0.11 | samples=  5,605,376 | speed= 1,515 sps | loss=0.095412 | lr=2.20e-04

[Ksamples=  5,630,464 | loss=0.090553 | speed=1339 sps | lr=1.65e-04
[Ksamples=  5,655,552 | loss=0.089807 | speed=1751 sps | lr=1.65e-04
[Ksamples=  5,680,640 | loss=0.089400 | speed=1751 sps | lr=1.65e-042026-07-05 13:24:58 | sweep_noise_prob0.2 | epoch=  0.11 | samples=  5,705,472 | speed= 1,400 sps | loss=0.089095 | lr=1.65e-04

[Ksamples=  5,730,560 | loss=0.087681 | speed=1167 sps | lr=1.68e-04
[Ksamples=  5,755,648 | loss=0.087777 | speed=1760 sps | lr=1.70e-04
[Ksamples=  5,780,736 | loss=0.087669 | speed=1758 sps | lr=1.73e-042026-07-05 13:26:03 | sweep_noise_prob0.2 | epoch=  0.12 | samples=  5,805,568 | speed= 1,542 sps | loss=0.087459 | lr=1.80e-04
